UBIGEO,DISTRICT,ESSALUD,GOBIERNO REGIONAL,MINSA,OTRO,PRIVADO,SANIDAD DE LA MARINA DE GUERRA DEL PERU,SANIDAD DE LA POLICIA NACIONAL DEL PERU,SANIDAD DEL EJERCITO DEL PERU,TOTAL
70101,CALLAO,2.0,27.0,0.0,0.0,12.0,0.0,4.0,0.0,45.0
70102,BELLAVISTA,2.0,4.0,0.0,0.0,7.0,2.0,0.0,0.0,15.0
70103,CARMEN DE LA LEGUA-REYNOSO,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0
70104,LA PERLA,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
70105,LA PUNTA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70106,VENTANILLA,0.0,14.0,0.0,0.0,2.0,0.0,2.0,0.0,18.0
70107,MI PERU,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
150101,LIMA,7.0,0.0,12.0,0.0,19.0,0.0,2.0,0.0,40.0
150103,ATE,2.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,9.0
150105,BREÃ‘A,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,6.0
150106,CARABAYLLO,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
150107,CHACLACAYO,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
150108,CHORRILLOS,2.0,0.0,1.0,0.0,11.0,0.0,4.0,4.0,22.0
150110,COMAS,2.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,11.0
150111,EL AGUSTINO,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
150112,INDEPENDENCIA,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0
150113,JESUS MARIA,8.0,0.0,0.0,0.0,21.0,0.0,2.0,2.0,33.0
150114,LA MOLINA,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,10.0
150115,LA VICTORIA,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,8.0
150116,LINCE,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,12.0
150117,LOS OLIVOS,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0
150118,LURIGANCHO,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0
150119,LURIN,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
150120,MAGDALENA DEL MAR,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,14.0
150121,PUEBLO LIBRE,0.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,19.0
150122,MIRAFLORES,5.0,0.0,2.0,2.0,25.0,0.0,0.0,0.0,34.0
150125,PUENTE PIEDRA,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,6.0
150128,RIMAC,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
150129,SAN BARTOLO,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
150130,SAN BORJA,0.0,0.0,2.0,0.0,40.0,0.0,2.0,1.0,45.0
150131,SAN ISIDRO,2.0,0.0,0.0,0.0,36.0,0.0,2.0,0.0,40.0
150132,SAN JUAN DE LURIGANCHO,2.0,0.0,2.0,0.0,16.0,0.0,2.0,0.0,22.0
150133,SAN JUAN DE MIRAFLORES,2.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,10.0
150134,SAN LUIS,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
150135,SAN MARTIN DE PORRES,1.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0,12.0
150136,SAN MIGUEL,2.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,14.0
150137,SANTA ANITA,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,8.0
150140,SANTIAGO DE SURCO,2.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,33.0
150141,SURQUILLO,2.0,0.0,2.0,0.0,12.0,0.0,4.0,0.0,20.0
150142,VILLA EL SALVADOR,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,8.0
150143,VILLA MARIA DEL TRIUNFO,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0
