UBIGEO,DISTRICT,PRIVADO,PUBLICO,TOTAL
70101,CALLAO,6.0,30.0,36.0
70102,BELLAVISTA,5.0,5.0,10.0
70103,CARMEN DE LA LEGUA-REYNOSO,2.0,3.0,5.0
70104,LA PERLA,0.0,3.0,3.0
70105,LA PUNTA,0.0,1.0,1.0
70106,VENTANILLA,2.0,15.0,17.0
70107,MI PERU,0.0,1.0,1.0
150101,LIMA,11.0,11.0,22.0
150103,ATE,1.0,5.0,6.0
150104,BARRANCO,1.0,0.0,1.0
150105,BREÃ‘A,2.0,1.0,3.0
150106,CARABAYLLO,0.0,2.0,2.0
150107,CHACLACAYO,0.0,1.0,1.0
150108,CHORRILLOS,6.0,6.0,12.0
150110,COMAS,5.0,2.0,7.0
150111,EL AGUSTINO,0.0,1.0,1.0
150112,INDEPENDENCIA,1.0,2.0,3.0
150113,JESUS MARIA,11.0,6.0,17.0
150114,LA MOLINA,6.0,1.0,7.0
150115,LA VICTORIA,2.0,2.0,4.0
150116,LINCE,5.0,1.0,6.0
150117,LOS OLIVOS,9.0,0.0,9.0
150118,LURIGANCHO,1.0,2.0,3.0
150119,LURIN,1.0,1.0,2.0
150120,MAGDALENA DEL MAR,6.0,1.0,7.0
150121,PUEBLO LIBRE,9.0,1.0,10.0
150122,MIRAFLORES,16.0,6.0,22.0
150125,PUENTE PIEDRA,1.0,2.0,3.0
150128,RIMAC,0.0,2.0,2.0
150129,SAN BARTOLO,0.0,1.0,1.0
150130,SAN BORJA,21.0,3.0,24.0
150131,SAN ISIDRO,21.0,2.0,23.0
150132,SAN JUAN DE LURIGANCHO,8.0,3.0,11.0
150133,SAN JUAN DE MIRAFLORES,3.0,3.0,6.0
150134,SAN LUIS,1.0,1.0,2.0
150135,SAN MARTIN DE PORRES,2.0,5.0,7.0
150136,SAN MIGUEL,5.0,2.0,7.0
150137,SANTA ANITA,1.0,3.0,4.0
150140,SANTIAGO DE SURCO,17.0,1.0,18.0
150141,SURQUILLO,6.0,4.0,10.0
150142,VILLA EL SALVADOR,2.0,2.0,4.0
150143,VILLA MARIA DEL TRIUNFO,4.0,0.0,4.0
