,CO_IPRESS,NAME,YEAR,MONTH,UBIGEO,STATE,PROVINCE,DISTRICT,SECTOR,CATEGORY,CATEGORY2,QTY_CONSULTING_ROOM,QTY_OPERATIONS_CONSULTING_ROOM,QTY_BEDS,QTY_DOCTORS,QTY_DOCTORS_SERUM,QTY_DOCTORS_RESIDENT,QTY_NURSE,QTY_DENTISTS,QTY_PSYCHOLOGISTS,QTY_NUTRITIONISTS,QTY_MEDICAL_TECHNOLOGISTS,QTY_OBSTETRICIANS,QTY_PHARMACEUTICAL,QTY_AUXILIARY_PERSONAL,QTY_OTHER_PROFESSIONS,QTY_AMBULANCIAS
0,5617,HOSPITAL SAN JUAN DE LURIGANCHO,2020,11,150132,LIMA,LIMA,SAN JUAN DE LURIGANCHO,MINSA,II-2,II,41.0,82.0,145.0,154.0,0.0,18.0,241.0,0.0,0.0,14.0,49.0,57.0,18.0,348.0,378.0,3.0
1,5883,HOSPITAL DE HUAYCAN,2020,12,150103,LIMA,LIMA,ATE,MINSA,II-1,II,23.0,43.0,59.0,80.0,0.0,0.0,71.0,2.0,5.0,4.0,5.0,41.0,9.0,96.0,2.0,1.0
2,5945,HOSPITAL VITARTE,2020,11,150103,LIMA,LIMA,ATE,MINSA,II-1,II,44.0,6.0,55.0,217.0,0.0,51.0,133.0,7.0,5.0,8.0,30.0,46.0,13.0,248.0,11.0,3.0
3,5946,HOSPITAL NACIONAL HIPOLITO UNANUE,2020,11,150111,LIMA,LIMA,EL AGUSTINO,MINSA,III-1,III,110.0,130.0,525.0,442.0,0.0,145.0,634.0,13.0,17.0,28.0,100.0,61.0,42.0,1080.0,219.0,4.0
4,5947,HOSPITAL DE MEDIANA COMPLEJIDAD JOSE AGURTO TELLO,2020,12,150118,LIMA,LIMA,LURIGANCHO,MINSA,II-2,II,5.0,5.0,38.0,121.0,0.0,8.0,117.0,4.0,5.0,7.0,17.0,19.0,8.0,154.0,9.0,1.0
5,5948,HOSPITAL HERMILIO VALDIZAN,2020,12,150137,LIMA,LIMA,SANTA ANITA,MINSA,III-1,III,55.0,84.0,211.0,70.0,0.0,22.0,77.0,5.0,28.0,5.0,4.0,0.0,13.0,147.0,18.0,2.0
6,5987,HOSPITAL MARIA AUXILIADORA,2020,10,150133,LIMA,LIMA,SAN JUAN DE MIRAFLORES,MINSA,III-1,III,95.0,0.0,373.0,356.0,0.0,111.0,385.0,4.0,6.0,12.0,67.0,29.0,15.0,446.0,26.0,2.0
7,6206,NACIONAL  DOS DE MAYO,2020,12,150101,LIMA,LIMA,LIMA,MINSA,III-1,III,72.0,69.0,291.0,401.0,0.0,166.0,244.0,5.0,10.0,23.0,69.0,53.0,45.0,465.0,30.0,3.0
8,6207,HOSPITAL NACIONAL ARZOBISPO LOAYZA,2020,12,150101,LIMA,LIMA,LIMA,MINSA,III-1,III,121.0,191.0,616.0,416.0,0.0,223.0,480.0,15.0,11.0,7.0,48.0,30.0,9.0,19.0,1312.0,4.0
9,6208,INSTITUTO NACIONAL MATERNO PERINATAL,2020,9,150101,LIMA,LIMA,LIMA,MINSA,III-2,III,60.0,69.0,397.0,264.0,0.0,49.0,347.0,5.0,9.0,6.0,44.0,203.0,17.0,800.0,130.0,5.0
10,6209,INSTITUTO NACIONAL DE CIENCIAS NEUROLOGICAS,2020,10,150101,LIMA,LIMA,LIMA,MINSA,III-2,III,7.0,6.0,105.0,92.0,0.0,19.0,111.0,0.0,7.0,3.0,43.0,0.0,5.0,278.0,5.0,2.0
11,6210,INSTITUTO NACIONAL DE ENFERMEDADES NEOPLASICAS,2020,12,150141,LIMA,LIMA,SURQUILLO,MINSA,III-2,III,69.0,148.0,392.0,274.0,0.0,156.0,614.0,4.0,11.0,23.0,225.0,0.0,50.0,10.0,891.0,1.0
12,6211,HOSPITAL DE APOYO SANTA ROSA,2020,10,150121,LIMA,LIMA,PUEBLO LIBRE,MINSA,III-1,III,54.0,87.0,102.0,268.0,55.0,34.0,245.0,13.0,10.0,12.0,56.0,39.0,25.0,80.0,33.0,3.0
13,6212,HOSPITAL DE EMERGENCIAS PEDIATRICAS,2020,10,150115,LIMA,LIMA,LA VICTORIA,MINSA,III-E,III,3.0,0.0,48.0,123.0,0.0,1.0,122.0,0.0,1.0,3.0,31.0,0.0,12.0,144.0,14.0,2.0
14,6213,HOSPITAL DE EMERGENCIAS JOSE CASIMIRO ULLOA,2020,11,150122,LIMA,LIMA,MIRAFLORES,MINSA,III-E,III,9.0,9.0,71.0,108.0,0.0,31.0,313.0,0.0,0.0,6.0,27.0,0.0,7.0,93.0,4.0,3.0
15,6214,HOSPITAL VICTOR LARCO HERRERA,2020,12,150120,LIMA,LIMA,MAGDALENA DEL MAR,MINSA,III-1,III,10.0,15.0,590.0,37.0,0.0,0.0,92.0,4.0,13.0,1.0,13.0,0.0,14.0,221.0,17.0,3.0
16,6215,HOSPITAL NACIONAL DOCENTE MADRE NIÑO SAN BARTOLOME,2020,12,150101,LIMA,LIMA,LIMA,MINSA,III-1,III,10.0,32.0,189.0,303.0,0.0,88.0,304.0,11.0,8.0,4.0,50.0,72.0,28.0,382.0,23.0,3.0
17,6216,INSTITUTO NACIONAL DE SALUD DEL NIÑO,2020,12,150105,LIMA,LIMA,BREÑA,MINSA,III-2,III,110.0,118.0,371.0,366.0,0.0,50.0,625.0,28.0,20.0,15.0,159.0,5.0,29.0,652.0,33.0,4.0
18,6217,INO DR. FRANCISCO CONTRERAS C.,2020,12,150101,LIMA,LIMA,LIMA,MINSA,III-2,III,44.0,76.0,11.0,108.0,0.0,27.0,55.0,0.0,1.0,1.0,22.0,0.0,8.0,103.0,6.0,1.0
19,6218,NAC. DANIEL A. CARRION,2020,10,70102,CALLAO,CALLAO,BELLAVISTA,GOBIERNO REGIONAL,III-1,III,3.0,3.0,324.0,271.0,0.0,185.0,351.0,8.0,12.0,10.0,64.0,28.0,14.0,487.0,31.0,1.0
20,6219,HOSPITAL SAN JOSE,2020,12,70103,CALLAO,CALLAO,CARMEN DE LA LEGUA-REYNOSO,GOBIERNO REGIONAL,II-2,II,43.0,68.0,72.0,144.0,0.0,37.0,110.0,5.0,14.0,2.0,36.0,31.0,7.0,94.0,7.0,4.0
21,6220,P.S. MANUEL BONILLA,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,10.0,10.0,0.0,7.0,0.0,0.0,6.0,3.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0
22,6221,C.S. ALBERTO BARTON,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-3,I,10.0,10.0,0.0,5.0,0.0,0.0,4.0,2.0,4.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0
23,6222,CALLAO,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,8.0,8.0,0.0,3.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,2.0,0.0,7.0,1.0,0.0
24,6223,P.S. SANTA FE,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,15.0,15.0,0.0,5.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,3.0,0.0,5.0,0.0,0.0
25,6224,JOSE BOTERIN,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,7.0,7.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0
26,6225,SAN JUAN BOSCO,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,7.0,7.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0
27,6226,P. S. PUERTO NUEVO,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,9.0,9.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
28,6227,P.S. LA PUNTA  ( EX-LUIS VALLEJO SANTONI ),2020,2,70105,CALLAO,CALLAO,LA PUNTA,GOBIERNO REGIONAL,I-2,0,7.0,7.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
29,6228,C.S. NESTOR GAMBETTA,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-4,I,11.0,10.0,5.0,12.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,8.0,1.0,11.0,0.0,0.0
30,6230,CENTRO DE SALUD ACAPULCO,2020,1,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-4,I,16.0,16.0,4.0,10.0,0.0,0.0,6.0,3.0,2.0,1.0,2.0,6.0,1.0,37.0,1.0,1.0
31,6231,RAMON CASTILLA,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,8.0,7.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0
32,6233,JUAN PABLO II,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,6.0,6.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,7.0,1.0,0.0
33,6234,P.S. SANTA ROSA,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,8.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0
34,6235,MIGUEL GRAU,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,8.0,8.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0
35,6238,C.S. MARQUEZ,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-4,I,11.0,11.0,8.0,11.0,0.0,0.0,12.0,3.0,1.0,1.0,1.0,10.0,1.0,34.0,0.0,1.0
36,6239,C.S. SESQUICENTENARIO,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-3,I,12.0,12.0,0.0,8.0,0.0,0.0,5.0,2.0,1.0,1.0,6.0,2.0,2.0,14.0,0.0,0.0
37,6240,P.S. PREVI,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,12.0,12.0,0.0,3.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,4.0,0.0,6.0,1.0,0.0
38,6241,AEROPUERTO,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,8.0,8.0,0.0,3.0,0.0,0.0,4.0,2.0,1.0,2.0,0.0,2.0,0.0,7.0,0.0,0.0
39,6242,PUESTO DE SALUD PLAYA RIMAC,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,6.0,6.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0
40,6243,P. S. FAUCETT,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,7.0,7.0,0.0,4.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,3.0,0.0,8.0,0.0,0.0
41,6244,P.S. 200 MILLAS,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,6.0,6.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0
42,6245,P.S. BOCANEGRA,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,6.0,6.0,0.0,4.0,0.0,0.0,4.0,2.0,1.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0
43,6246,P.S.EL ALAMO,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,20.0,20.0,0.0,5.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,3.0,0.0,13.0,0.0,0.0
44,6248,P.S. POLIGONO IV,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,10.0,10.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,5.0,1.0,0.0
45,6249,C.S. BELLAVISTA PERU COREA,2020,2,70102,CALLAO,CALLAO,BELLAVISTA,GOBIERNO REGIONAL,I-4,I,5.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
46,6250,P.S. ALTA MAR,2020,2,70104,CALLAO,CALLAO,LA PERLA,GOBIERNO REGIONAL,I-2,0,9.0,9.0,0.0,6.0,0.0,0.0,4.0,3.0,1.0,2.0,1.0,3.0,0.0,9.0,0.0,0.0
47,6251,P.S. LA PERLA,2020,2,70104,CALLAO,CALLAO,LA PERLA,GOBIERNO REGIONAL,I-2,0,12.0,12.0,0.0,4.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0
48,6252,C.S. CARMEN DE LA LEGUA,2020,2,70103,CALLAO,CALLAO,CARMEN DE LA LEGUA-REYNOSO,GOBIERNO REGIONAL,I-3,I,9.0,9.0,0.0,5.0,0.0,0.0,4.0,2.0,3.0,2.0,3.0,3.0,0.0,11.0,1.0,0.0
49,6253,VILLA SR. DE LOS MILAGROS,2020,2,70103,CALLAO,CALLAO,CARMEN DE LA LEGUA-REYNOSO,GOBIERNO REGIONAL,I-2,0,13.0,12.0,0.0,4.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,0.0,8.0,3.0,0.0
50,6255,P.S. VENTANILLA ALTA,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,12.0,10.0,0.0,5.0,1.0,0.0,9.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0
51,6256,CENTRO DE SALUD VILLA LOS REYES,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-4,I,12.0,12.0,2.0,12.0,0.0,0.0,12.0,3.0,1.0,1.0,0.0,13.0,0.0,30.0,4.0,0.0
52,6257,P. S. ANGAMOS,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,12.0,22.0,0.0,9.0,4.0,0.0,10.0,2.0,3.0,1.0,0.0,6.0,0.0,10.0,1.0,0.0
53,6258,P.S. VENTANILLA BAJA,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,5.0,5.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0
54,6259,P.S. VENTANILLA ESTE,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,6.0,10.0,0.0,3.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
55,6260,PUESTO DE SALUD MI PERU,2020,2,70107,CALLAO,CALLAO,MI PERU,GOBIERNO REGIONAL,I-2,0,6.0,6.0,0.0,6.0,0.0,0.0,8.0,4.0,3.0,2.0,0.0,6.0,1.0,13.0,1.0,0.0
56,6261,P.S. LUIS FELIPE DE LAS CASAS,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,2.0,3.0,0.0,3.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,3.0,0.0,10.0,2.0,0.0
57,6262,P.S. HIJOS DEL ALMIRANTE GRAU,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,9.0,13.0,0.0,4.0,0.0,0.0,6.0,2.0,2.0,1.0,0.0,3.0,0.0,7.0,1.0,0.0
58,6263,P.S. SANTA ROSA DE PACHACÚTEC,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,6.0,6.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,2.0,0.0,8.0,8.0,0.0
59,6264,P.S. BAHIA BLANCA,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,11.0,10.0,0.0,4.0,0.0,0.0,8.0,3.0,3.0,1.0,0.0,4.0,1.0,10.0,1.0,0.0
60,6266,03 DE FEBRERO,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,2.0,2.0,0.0,2.0,2.0,0.0,6.0,2.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0
61,6267,P.S. CIUDAD PACHACUTEC,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,13.0,24.0,0.0,4.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,4.0,0.0,10.0,1.0,0.0
62,6268,P.S. DEFENSORES DE LA PATRIA,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-2,0,8.0,12.0,0.0,4.0,1.0,0.0,6.0,2.0,1.0,1.0,0.0,4.0,0.0,6.0,1.0,0.0
63,6669,SANIDAD AEREA INTERNACIONAL,2020,1,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,2.0,2.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
64,6768,PALMERAS DE OQUENDO,2020,2,70101,CALLAO,CALLAO,CALLAO,GOBIERNO REGIONAL,I-2,0,7.0,7.0,0.0,4.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,3.0,0.0,7.0,2.0,0.0
65,7126,HOSPITAL DE VENTANILLA,2020,11,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,II-1,II,0.0,0.0,87.0,99.0,0.0,17.0,103.0,7.0,6.0,2.0,17.0,41.0,6.0,210.0,1.0,1.0
66,7314,C.S. MATERNO INFANTIL PACHACUTEC  PERU-COREA,2020,2,70106,CALLAO,CALLAO,VENTANILLA,GOBIERNO REGIONAL,I-4,I,24.0,38.0,22.0,18.0,0.0,0.0,16.0,4.0,2.0,2.0,7.0,19.0,1.0,1.0,0.0,1.0
67,7632,HOSPITAL CARLOS LANFRANCO LA HOZ,2020,12,150125,LIMA,LIMA,PUENTE PIEDRA,MINSA,II-2,II,27.0,44.0,111.0,148.0,0.0,46.0,161.0,8.0,10.0,7.0,7.0,55.0,34.0,10.0,16.0,3.0
68,7633,HOSPITAL NACIONAL CAYETANO HEREDIA,2020,12,150135,LIMA,LIMA,SAN MARTIN DE PORRES,MINSA,III-1,III,102.0,39.0,376.0,434.0,0.0,231.0,525.0,9.0,24.0,18.0,78.0,44.0,12.0,1482.0,134.0,3.0
69,7634,HOSPITAL NACIONAL SERGIO E. BERNALES,2020,12,150110,LIMA,LIMA,COMAS,MINSA,III-1,III,43.0,4.0,347.0,211.0,0.0,114.0,241.0,8.0,12.0,7.0,51.0,53.0,11.0,865.0,45.0,3.0
70,7733,"INSTITUTO NACIONAL DE SALUD MENTAL ""HONORIO DELGADO - HIDEYO NOGUCHI""",2020,12,150135,LIMA,LIMA,SAN MARTIN DE PORRES,MINSA,III-2,III,4.0,2.0,22.0,130.0,0.0,46.0,80.0,0.0,45.0,4.0,14.0,4.0,7.0,140.0,56.0,2.0
71,7734,"INSTITUTO NACIONAL DE REHABILITACION ""DRA. ADRIANA REBAZA FLORES"" AMISTAD PERU - JAPON",2020,8,150108,LIMA,LIMA,CHORRILLOS,MINSA,III-2,III,55.0,82.0,48.0,127.0,0.0,44.0,30.0,2.0,24.0,8.0,120.0,0.0,7.0,114.0,49.0,2.0
72,7794,CONSORCIO RED MEDICA OSEA S.A.C.,2020,2,70103,CALLAO,CALLAO,CARMEN DE LA LEGUA-REYNOSO,PRIVADO,I-2,0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
73,7840,PERFECTDENT-FERREYRA,2020,2,70106,CALLAO,CALLAO,VENTANILLA,PRIVADO,I-1,0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
74,7918,LABORATORIO DE ANALISIS CLINICO LUIS NAKANDAKARI,2020,7,70101,CALLAO,CALLAO,CALLAO,PRIVADO,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0
75,8215,MEDICENTRO SAN ISIDRO,2020,9,150131,LIMA,LIMA,SAN ISIDRO,PRIVADO,I-2,0,48.0,48.0,0.0,45.0,0.0,0.0,21.0,6.0,1.0,2.0,14.0,7.0,2.0,15.0,0.0,0.0
76,8251,CAP III HUAYCAN-GRDA-ESSALUD,2020,6,150103,LIMA,LIMA,ATE,ESSALUD,I-3,I,5.0,10.0,0.0,16.0,0.0,0.0,15.0,3.0,1.0,1.0,7.0,3.0,3.0,14.0,6.0,1.0
77,8258,REJUVENECIMIENTO Y ESTETICA CABANI SRL,2020,12,150130,LIMA,LIMA,SAN BORJA,PRIVADO,II-1,II,1.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
78,8265,HOSPITAL NACIONAL ALBERTO SABOGAL SOLOGUREN DE LA RED ASISTENCIAL SABOGAL,2020,12,70102,CALLAO,CALLAO,BELLAVISTA,ESSALUD,III-1,III,61.0,86.0,447.0,748.0,0.0,159.0,524.0,9.0,13.0,21.0,117.0,37.0,26.0,876.0,47.0,5.0
79,8266,HOSPITAL NAVAL,2020,9,70102,CALLAO,CALLAO,BELLAVISTA,SANIDAD DE LA MARINA DE GUERRA DEL PERU,III-1,III,70.0,70.0,259.0,129.0,0.0,50.0,261.0,14.0,12.0,7.0,33.0,1.0,8.0,248.0,11.0,4.0
80,8271,CLINICA SAN JUAN BAUTISTA,2020,12,150132,LIMA,LIMA,SAN JUAN DE LURIGANCHO,PRIVADO,II-2,II,24.0,64.0,45.0,13.0,0.0,0.0,63.0,0.0,1.0,9.0,5.0,2.0,87.0,0.0,1.0,0.0
81,8281,CLUB DE LA SALUD,2020,12,150101,LIMA,LIMA,LIMA,PRIVADO,II-2,II,7.0,14.0,56.0,81.0,0.0,0.0,41.0,0.0,2.0,2.0,19.0,0.0,3.0,78.0,1.0,0.0
82,8289,ESSALUD,2020,11,150134,LIMA,LIMA,SAN LUIS,ESSALUD,I-3,I,11.0,20.0,0.0,25.0,0.0,0.0,16.0,3.0,1.0,2.0,3.0,2.0,2.0,45.0,1.0,0.0
